Test Case,Fault,Command
t18,"[1, 2, 3]",-P [5 8 7 < ../inputs/input/inp.6]
t1586,[5],-P [4 6 3 < ../inputs/input/inp.hf.30]
t88,"[1, 4]",-P [4 6 7 < ../inputs/input/inp.28]
t2651,"[1, 2, 8]",-P [3 1 5 < ../inputs/input/zt.1]
t1562,"[1, 2, 7]",-P [7 10 5 < ../inputs/input/inp.hf.6]
t147,"[1, 2, 6]",-P [4 10 2 < ../inputs/input/inp.91]
t34,"[1, 2, 4]",-P [6 3 3 < ../inputs/input/inp.6]
t85,"[1, 2, 3]",-P [8 5 3 < ../inputs/input/inp.91]
t97,"[1, 2, 3]",-P [7 1 8 < ../inputs/input/inp.91]
t131,"[1, 2, 6]",-P [4 8 2 < ../inputs/input/inp.91]
t197,"[1, 2, 4]",-P [4 3 1 < ../inputs/input/inp.91]
t17,"[1, 2]",-P [7 4 2 < ../inputs/input/inp.12]
t36,"[1, 2]",-P [10 5 9 < ../inputs/input/inp.6]
t58,"[1, 3]",-P [6 10 8 < ../inputs/input/inp.28]
t103,"[1, 2]",-P [6 1 7 < ../inputs/input/inp.91]
t119,"[1, 2]",-P [2 3 7 < ../inputs/input/inp.12]
t121,"[1, 2]",-P [7 3 7 < ../inputs/input/inp.12]
t149,"[1, 2]",-P [6 8 9 < ../inputs/input/inp.100]
t224,"[1, 2]",-P [2 5 6 < ../inputs/input/inp.12]
t290,"[1, 2]",-P [9 3 9 < ../inputs/input/inp.100]
t296,"[1, 2]",-P [7 3 8 < ../inputs/input/inp.12]
t1568,"[1, 2]",-P [8 9 0 < ../inputs/input/inp.hf.12]
t2463,"[1, 2]",-P [1 2 3 < ../inputs/input/inp.hf.12]
t2466,"[1, 2]",-P [1 1 0 < ../inputs/input/inp.hf.12]
t2656,"[1, 2]",-P [6 2 0 < ../inputs/input/zt.6]
t2662,"[1, 2]",-P [5 2 9 < ../inputs/input/zt.12]
t8,[1],-P [3 7 4 < ../inputs/input/inp.28]
t11,[1],-P [7 9 8 < ../inputs/input/inp.14]
t15,[1],-P [7 0 6 < ../inputs/input/inp.95]
t45,[2],-P [7 6 5 < ../inputs/input/inp.89]
t56,[1],-P [6 2 3 < ../inputs/input/inp.2]
t57,[1],-P [6 3 8 < ../inputs/input/inp.78]
t71,[5],-P [4 9 6 < ../inputs/input/inp.30]
t72,[1],-P [6 0 1 < ../inputs/input/inp.26]
t75,[1],-P [2 3 7 < ../inputs/input/inp.30]
t80,[1],-P [7 6 8 < ../inputs/input/inp.26]
t112,[1],-P [10 5 8 < ../inputs/input/inp.82]
t135,[1],-P [2 1 6 < ../inputs/input/inp.95]
t144,[1],-P [10 3 3 < ../inputs/input/inp.78]
t154,[1],-P [4 3 0 < ../inputs/input/inp.2]
t155,[1],-P [10 5 6 < ../inputs/input/inp.2]
